name,description
The Joyce Public House,"Lively pub, Irish flair, mixed crowd, rock music, casual, welcoming atmosphere."
Aquihito,"Intimate, unpretentious bar with a lively vibe specializing in Japanese whiskeys & snacks."
Coexist GameHouse,"Relaxed atmosphere, indie music, diverse crowd, gaming-focused, cozy hangout spot."
Theory Lounge & Bar,"Stylish, modern ambiance, hip-hop beats, diverse crowd, lively urban nightlife."
ART Midtown,"Chic, lively bar with jazz music, cosmopolitan crowd, sophisticated atmosphere."
Latitude 39 Restaurant & Bar,"Trendy, inviting atmosphere with eclectic music, diverse crowd, modern decor."
Alfie's Bar & Kitchen,"Cavernous, rustic-chic hangout with rotating craft-beer taps & small-batch whiskeys plus late hours."
Dave & Buster's New York City - Times Square,"Lively, fun atmosphere; arcade games; diverse crowd; mainstream music; energetic vibe."
Dallas BBQ Times Square,Bustling local chain serving big plates of saucy meats & other classic fare plus jumbo margaritas.
Wolfgang's Steakhouse,"Elegant, classic steakhouse with a sophisticated ambiance, jazz tunes, diverse clientele."
Bowlero Times Square,Huge portions of pub grub & flat-screen TV sports in a stadium-themed eatery inside Bowlmor Lanes.
Printers Alley,"Industrial-chic sports bar with a Pittsburgh Steelers theme, plus updated pub grub & happy hours."
Pinnacle Bar,"Chic, upscale bar with jazzy tunes, diverse crowd, elegant vibe."
Bluestone Lane Times Square Coffee Shop,"Vibrant coffee haven; relaxed vibe, indie tunes, diverse, trendy crowd."
Garvey's Irish Pub,"Lively Irish pub with traditional decor, eclectic tunes, diverse crowd."
Castell Rooftop Lounge,"Trendy bar on the rooftop of the AC Hotel featuring cocktails & bites, plus a terrace & city views."
Boqueria W40th,"Lively Spanish tapas, vibrant atmosphere, eclectic music, diverse crowd."
5 o'Clock Somewhere Bar - Times Square,"Laid-back, tropical-themed bar with live music, attracting tourists and locals."
LandShark Bar & Grill - Times Square,"Lively, beach-themed bar; tropical cocktails; relaxed vibe; pop-rock music; mixed crowd."
Blue,"Intimate NYC bar, chill ambiance, live jazz, diverse young crowd."
Connolly's,"Lively Irish bar, warm atmosphere, classic rock, diverse crowd, cozy ambiance."
The Lambs Club,"An expense-account crowd samples cocktails & steaks at this clubby, art deco-styled eatery."
The Perfect Pint,"Lively Irish pub, welcoming vibe, classic rock tunes, diverse patrons."
Jimmy's Corner,"Narrow, old-school Times Square bar with boxing memorabilia covering the walls."
Grace Lounge At the Grace Htl,"Chic lounge, sophisticated vibe, eclectic tunes, professional clientele, upscale atmosphere."
The Long Room,"Clubby Irish gastropub with an extensive beer menu featuring craft, domestic & international brews."
Bobby Van's Grill Times Square,"Casual weekday counter serve for hefty burgers, pizza, sandwiches & hot dogs, plus breakfast eats."
O'Donoghue’s Times Square,"Mellow tavern showcasing Irish & American eats plus beer & live music in a warm, casual atmosphere."
Bar 54,"Rooftop bar offering sweeping views of Midtown, along with a playful cocktail program."
Bisbee's Beer Garden,"Simple kiosk with outdoor tables serving chili dogs, bratwurst & sandwiches, plus ale & sangria."
Burger & Lobster Bryant Park,"Chill vibe, upscale, classic rock, diverse crowd, gourmet burgers, seafood-focused."
The Patio,"Lively bar, relaxed patio, diverse crowd, eclectic tunes, casual ambiance."
St. Cloud Rooftop,"Rooftop bar & lounge offering cocktails, craft beer & global tapas in a glamorous, scenic setting."
Paul's on Times Square,"Modern hotel eatery and bar, serving refined Italian fare with a view of Times Square."
JM,"Trendy, cozy bar with jazz music; attracts young professionals, artistic crowd."
The Iroquois New York,"Elegant hotel bar, sophisticated atmosphere, jazz music, upscale, professionals, refined crowd."
STK Steakhouse,"Chic, energetic vibe; upscale decor; DJ-driven beats; diverse young professionals."
Via Brasil NYC,"Longtime Brazilian restaurant serving up grilled meats, stews & strong drinks in a simple setting."
Lantern's Keep,"Elegant saloon with dark wood paneling & historic decor mixing classic, Prohibition-era cocktails."
Emporium Brasil,A white-table cloth spot in Little Brazil serving traditional Brazilian cuisine & cocktails.
Blue Bar,"Sophisticated, classic ambiance; jazz music; professional crowd; upscale, elegant setting."
Butter,"Trendy bar with lively ambience, eclectic music, youthful and diverse crowd."
Oak Room,"Upscale, elegant atmosphere; jazz music; mature, sophisticated crowd; classic cocktails."
Chazz Palminteri Italian Restaurant,"Elegant Italian bar; upscale vibe; classic jazz music; sophisticated, mature clientele."
St. Pat's Bar & Grill NYC,"Sprawling, multi-level Irish bar & grill serving steak, sandwiches & traditional dishes."
Madame George,"Chic, Parisian-style; jazz tunes; diverse crowd; relaxed, cozy ambiance."
VALERIE,"Trendy bar, cozy ambiance, eclectic tunes; attracts young professionals and creatives."
Iroquois Bar,"Intimate atmosphere, jazz music, upscale vibe, diverse clientele."
LOLITA,"Chic, trendy bar with eclectic vibe, indie music, young professionals."
MáLà Project,"Trendy, industrial-chic bar; upbeat vibe, eclectic music, diverse crowd."
Kaspar's Seafood Bar and Grill,"Lively, upscale seafood spot with jazz music and diverse clientele."
The Dawson Restaurant & Bar,"Chic atmosphere, lively vibe, diverse music, young professional crowd, trendy."
Pavé,"Cozy, eclectic atmosphere, indie music, diverse crowd, artsy vibes."
Bar Building,"Trendy, upscale NYC bar; chill atmosphere, electronic music, young professionals."
Bluestone Lane Bryant Park Coffee Shop,Melbourne-inspired coffee shop offering Australian-style espresso drinks and cafe fare all day.
Addictive NYC,"Stylish, energetic bar with upbeat music, diverse crowd, vibrant atmosphere."
Kevin's Pub,"Cozy atmosphere, lively vibe, classic rock music, diverse, friendly clientele."
Megan's Bar and Kitchen,"Family-run Irish-style pub offering pizza, comfort food & beer in a contemporary atmosphere."
Jane Doe Bar & Restaurant,"Lively, cozy ambiance; classic rock tunes; diverse crowd; relaxed social vibe."
Wolf & Lamb Steakhouse,"Elegant kosher steakhouse, sophisticated vibe, soft jazz, diverse professional clientele."
Kurumazushi,"High-end sushi bar serving sashimi, rolls & set omakase menus in a traditional Japanese setting."
Maggie's Place,"Publike eatery, convenient for Grand Central commuters, with beer on tap & an Irish staff."
"Tommy Bahama Restaurant, Bar & Store","Casual clothing store featuring men's & women's apparel, plus shoes & accessories."
Retroclubnyc,"Cozy dance club playing disco & freestyle music, with a menu offering old-school cocktails."
Mangia 48th Madison _Italian Food & Corporate Catering NYC,"Self-serve take-out spot offering gourmet Mediterranean sandwiches, salads & pastas."
Benny John's Bar and Grill,"Energetic atmosphere, casual vibe, rock music, diverse crowd, great drinks."
Mocha LUX - Steakhouse & Burgers,"Upscale, vibrant ambiance; jazz tunes, diverse crowd; premium steaks, gourmet burgers."
Bond 45 New York Italian Kitchen & Bar,"Elegant, bustling; vintage decor; live jazz; diverse, sophisticated crowd."
Bluestone Lane Midtown East Coffee Shop,Melbourne-inspired coffee place offering Australian-style espresso drinks and cafe fare all day.
M J Smith's Food & Spirits,Cozy spot with a refined vibe & traditional wood decor offering classic pub fare & a full bar.
Sean's Bar & Kitchen,"Convivial pub with a warm vibe offering Irish & American bites, plus many draft beers. Open late."
Inside Park at St. Bart's,Elegant New American restaurant in the former Great Hall of the church's Community House.
Baretto New York,"Chic lounge, elegant vibe, jazz music, sophisticated crowd, intimate setting."
The Parlour at The Barclay,High–end hotel bar featuring a wide array of gins & gin cocktails in a luxe interior.
Upstairs,"Trendy rooftop bar, skyline views, ambient lounge music, young professionals."
Ferro's,"Lively, modern bar; eclectic music; diverse crowd; chic, buzzing atmosphere."
Bistango,Italian restaurant in the Kimberly Hotel serving classic fare including many gluten-free options.
Empire Steak House East,"Bi-level space with plush banquettes for dining on dry-aged steaks, chops & seafood."
Empire Burger House,"upbeat ambiance, rock music, casual crowd, craft beers, lively."
Lexington Bar,"Cozy, intimate speakeasy; jazz backdrop; cocktails; mixed crowd; vintage charm."
GU JAPANESE FUSION SUSHI & BAR,"Modern, colorful kitchen and bar offering sushi, poke, and Japanese noodle dishes, plus daily happy hour."
Vinoteca,"Cozy, vibrant atmosphere; eclectic music mix; diverse, sophisticated clientele."
Bar Orai,"Chic, dim-lit, trendy; jazz tunes, diverse patrons; sophisticated, intimate atmosphere."
Brasserie Cognac 48th,"Elegant French brasserie, sophisticated vibe, jazz music, diverse, upscale crowd."
Frida Midtown,Lively Latin-themed bar; vibrant atmosphere; diverse crowd; reggaeton music.
The Smith,"Lively American brasserie; upbeat vibe, diverse clientele, contemporary tunes, energetic ambiance."
Casa de Montecristo Cigar Lounge,"Upmarket store carrying a large selection of imported cigars & pipe tobaccos, plus accessories."
Redemption Sports Lounge,This busy pub with private event spaces is part sleek lounge & part burgers-&-wings sports bar.
Cello Wine & Cocktail Bistro,A changing wine list accompanies a menu of small plates at this brick-lined wine bar.
Solera,"Sophisticated, cozy wine bar; relaxed vibe, eclectic music, diverse patrons."
The Stag's Head,Bi-level tavern with a rotating roster of taps & many bottles plus an accompanying pub food menu.
Cornerstone Tavern,"Bi-level sports bar with full menu, craft brews & extended happy hour, plus trivia & karaoke nights."
Little Thai Kitchen,"Cozy ambiance, Thai cuisine, mellow tunes, diverse patrons, intimate dining experience."
Tomi Jazz,Low-key bar & grill featuring Japanese bites & live jazz in a cozy setting with a speakeasy vibe.
Niall's on 52nd,"Traditional, wood-lined Irish pub supplying draft beer & classic American comfort food."
La Gioconda,"Cozy lounge, eclectic crowd, jazz and blues, vintage ambiance."
212 Steakhouse,"Upscale restaurant with authentic Kobe, Wagyu, and prime beef, plus seafood, cocktails, and wine."
Hudson Malone,"Laid-back vibe, classic rock, diverse crowd, vintage decor, cozy."
The Horny Ram,Happy hour & bottomless brunch in a rustic bar featuring classic pub fare with a twist.
Wildcard Bar,"Chic ambiance, eclectic music, diverse crowd, vibrant nights, cozy corners."
Club Wyn,"Trendy, vibrant atmosphere; EDM music; young, fashionable crowd."
Madam Mikette's,"Funky brasserie serving creative cocktails, sharing plates & mains in a cozy, vintage-style space."
No Work Allowed,"Lively NYC bar with upbeat music, relaxed vibe, diverse clientele."
Café Luce Italian Restaurant & Wine Bar,"Cozy, elegant ambiance; jazz tunes; sophisticated crowd; authentic Italian cuisine."
Strangelove Bar Nyc,"Graffiti covers most surfaces in this funky, low-lit watering hole with a punk-rock vibe."
Turtle Bay Tavern,"Lively, energetic bar with top 40 hits, young professional crowd."
Murphys Irish Pub,"Cozy, authentic ambiance; lively crowd; traditional Irish tunes; diverse patrons."
Cafe Hatou,"Cozy, friendly, relaxed, jazz music, diverse crowd, intimate ambiance."
Vin Sur Vingt Bistro - Midtown East,"Cozy bistro, sophisticated vibe, French wines, soft jazz, professional clientele."
Clinton Hall,"Lively atmosphere, craft beers, games, eclectic music, diverse crowd."
Parnell's,"Long-standing Irish pub serving typical grub in a warm, homey atmosphere lit by Tiffany-style lamps."
The Greats of Craft,"Informal neighborhood lounge serving craft beer & artisan coffee with curated, rotating menus."
Panorama Room,"Oysters & small plates in a rooftop lounge with glass walls, city views & a trendy, modern vibe."
Zoe's Place,"Cozy and vibrant, Zoe's Place features jazz, eclectic crowd, welcoming atmosphere."
Mad Donkey Beer Bar & Grill,"Relaxed taproom hosting weekend DJs & serving numerous whiskeys, jumbo cocktails & pub grub."
Psari,"Eatery offering Greek seafood & a raw bar in a bright, attractive space with sidewalk tables."
Chela & Garnacha,"Warm Mexican eatery with colorful murals, offering tacos and enchiladas, plus tequila and mezcal."
Chano's Cantina,"Energetic, Latin music, vibrant atmosphere, diverse crowd, lively nightlife."
Quijote Tapas Bar,"Cozy, lively; eclectic Latin beats; young professionals; intimate, rustic vibe."
Cerasella,"Quaint Italian pastry shop supplying homemade cakes & pastries, plus pizza, sandwiches & coffee."
L'CALA,"Upscale, lively bar with Latin music; attracts diverse, trendy crowd."
Dive Bar LIC,"Laid-back hangout whipping up finger foods, burgers & pizza, plus cocktails & happy-hour specials."
Sunswick 35/35,"Chill local pub offering various craft beers on tap plus trivia nights, karaoke, live music & more."
Sac's Place,Family-run local mainstay serving up crispy coal-oven pizzas plus pastas in a simple setting.
Snowdonia,"Lively atmosphere, cozy vibe, eclectic music, diverse demographic, creative drinks."
Veronica's Bar,"Cozy, vibrant, jazz tunes, eclectic decor; attracts diverse, artsy crowd."
UNO Pizzeria & Grill,"Laid-back atmosphere, classic rock, diverse crowd, hearty pizzas, and craft beers."
Twist and Smash'd Sports,"Bustling sports bar offering American comfort food & many beers on tap, plus DJs & bocce ball."
Luna Asian Bistro and Japanese Rooftop Restaurant 日本料理,"Specialty sushi, Asian fusion fare & drinks served in modern digs with a rooftop patio & city views."
Anemos,"Elegant NYC bar with Mediterranean vibes, curated music, diverse crowd."
Drinkology NYC,"Chic ambiance, energetic vibe, eclectic music, trendy mixed-demographic crowd."
Layaly Cafe,"Low-key hookah bar with a back patio offering American comfort eats, sandwiches & mezze."
Oven Grill & Chill,"Relaxed bar & grill serving up traditional pub grub, burgers & Peruvian entrees, plus vegan options."
Lavelle’s Admirals Club,"Upscale, elegant atmosphere; jazzy tunes; diverse crowd; chic, welcoming vibe."
48 BAR,"Cozy, modern vibe, eclectic music, diverse crowd, perfect ambiance."
AY GUEY NYC Cantina,"Lively Mexican cantina with vibrant atmosphere, Latin music, youthful crowd."
Salvaje Social Club NYC,"Speakeasy vibe, eclectic music, artsy crowd, intimate, sophisticated atmosphere, vibrant nightlife."
Napoles Gastrobar,"Chic atmosphere, modern vibe, eclectic music, diverse clientele."
Mojitos,"Vibrant, tropical ambiance, lively Latin music, diverse crowd, upscale vibes."
The Queensboro,"Rustic-chic restaurant plating egg dishes, pancakes, pasta & other comfort fare, plus cocktails."
Cedric's at The Shed,"From Danny Meyer, this bar in the lobby of an arts center serves up inventive cocktails & bites."
Electric Lemon,Equinox Hotel restaurant for veggie-forward dishes and crudos in a polished venue with a terrace.
Rose Room,"Chic speakeasy, jazz vibes, dim-lit, sophisticated, diverse, intimate crowd."
Peak with Priceless Restaurant & Bar,Sleek restaurant and rooftop lounge featuring contemporary American cuisine and panoramic city views.
ANA Bar and Eatery,"Lively ambiance, eclectic decor, indie music, diverse crowd, creative cocktails."
The Bronx Brewery & Hudson Yards Kitchen,"Lively brewery with craft beers, casual vibe, diverse crowd, modern tunes."
Milos Wine Bar,"Sophisticated bistro offering a selection of Greek wines, a raw bar & Mediterranean tapas & gyros."
O'Toole's Way,"Lively Irish pub with upbeat rock music, diverse crowd, friendly atmosphere."
Ana,"Cozy, dim-lit, chill vibes, eclectic music, diverse young professionals."
brochure,"A lively NYC bar with vibrant decor, eclectic music, diverse crowd."
Peak Lounge Bar,"Chic ambiance, vibrant vibe, eclectic music, upscale, young professionals' hotspot."
S Bar,"Chic ambiance, buzzing vibe, eclectic tunes, trendy crowd, upscale experience."
Bar Torino,"Cozy ambiance, jazz tunes, craft cocktails, diverse young professionals."
Quin Bar,"Stylish, sophisticated; jazz music; attracts professionals and creatives."
Bar Pendry Manhattan West,"Sophisticated, upscale atmosphere; chic vibe; eclectic music; attracts professionals, cosmopolitan crowd."
Jajaja Mexicana,"Lively, trendy vegan Mexican bar; vibrant atmosphere; eclectic music; young professionals."
Hudson Bar Room,"All-day dining on seasonal fare with craft cocktails & wine in a handsome, contemporary hotel space."
Chez Zou,"Chic ambiance, lively vibe, eclectic music, trendy young professionals."
Zou Zou’s,Stylish restaurant with an open kitchen dishing up Eastern Mediterranean bites and cocktails.
Ci Siamo,"Stylish restaurant offering high-end Mediterranean standards, plus wine and cocktails."
Uncle Jack's Steakhouse - Westside,"Traditional chophouse serving large steaks, classic sides & martinis in a clubby atmosphere."
Gastro At 35,"Creative Spanish-inspired tapas served in a casual, stylish space with high ceilings in Tryp Hotel."
Break Bar,"Industrial vibe, lively atmosphere, mix of rock music, diverse crowd."
pegman cheeses,"Cozy, rustic bar, indie tunes, diverse patrons, laid-back vibe."
Longo Bros,"Traditional Italian dishes, pizzas, and cocktails served in a relaxed, industrial-chic restaurant."
Bar 1905,"Cozy, vintage atmosphere; diverse crowd; jazz and blues music; relaxed vibe."
Sightwell,"Cozy bar with jazz music, artsy decor, eclectic crowd, relaxed vibe."
Chef Yu,"Traditional Chinese dishes by the namesake chef are served in a modern, airy 2-story space."
STITCH Bar & Blues,Drink specials & a split-level setting attract the after-work crowd to this large watering hole.
The Houndstooth Pub,Sprawling pub popular for after-work hangouts offering happy-hour specials & upscale bar grub.
Tick Tock Diner NY,"Standard 24/7 diner with retro looks, basic fare & close proximity to Madison Square Garden & more."
Big Apple Ranch,"Gay-centric, straight-friendly dance hall hosting Saturday night country-western dance parties."
Trattoria Bianca,"Pasta, thin-crust pizza & Italian entrees served amid art deco accents inside the New Yorker Hotel."
Black Iron Burger,"Cozy gastropub; bustling vibe; rock music; diverse, lively crowd; gourmet burgers."
WAKAMBA BAR,"Lively, Latin vibe, diverse crowd, salsa music, energetic atmosphere."
Vue 180 Rooftop Bar & Lounge,"Chic rooftop; panoramic views; trendy crowd; live DJs; upbeat, trendy music."
GOGI 37,"Korean BBQ and cocktails offered in lofty, contemporary surroundings with table grills and a sizable bar."
The Tailor Public House,"Drinks & comfort food in a spacious, bi-level tavern with a warm, traditional atmosphere & 3 bars."
District Tap House,"Late-night outpost for craft beer, cocktails & creative bar eats in a dark-wood setting with TVs."
Muses 35 Bar & Karaoke,"Spacious, high-style karaoke bar with private rooms, a lounge area, Asian snacks & bottle service."
Arno,White-tablecloth restaurant serving traditional Northern Italian cuisine.
DK Restaurant NYC,"Upscale offshoot of the storied steakhouse serving an updated menu in a chic, modern setting."
The Skylark,"Glamorous 30th-floor cocktail lounge & Abigail Kirsch event spaces, with views, a deck & bar bites."
Lazzara's Pizza Cafe,"Square thin-crust pies & Italian standards are offered in a basic, second-floor location."
Magic Hour Rooftop Bar & Lounge,"Rooftop cocktail bar at the Moxy Times Square with an amusement park theme, including mini-golf."
Bluestone Lane Garment District Coffee Shop,"Espresso drinks & gourmet toasts offered in an airy space with modern, chic decor in hues of blue."
Victory Restaurant & Lounge,"Trendy, energetic ambiance, diverse crowd, vibrant nightlife, hip-hop/R&B beats."
Gibneys NYC,"Laid-back bar, relaxed vibe, classic rock, diverse crowd."
Resolution 39,"Trendy, relaxed; indie music; diverse, young crowd; cool art decor."
Sei Less,"Trendy, Asian-fusion, upscale vibe, diverse crowd, DJ-spun electronic music."
License to Chill Bar - Times Square,"Lively atmosphere, relaxed vibe, pop hits, diverse crowd, prime location."
Margaritaville - Times Square,"Lively tropical escape, relaxed atmosphere, Jimmy Buffett tunes, diverse crowd."
Margaritaville Resort Times Square,"Lively, tropical vibe, eclectic crowds, island music, relaxed resort atmosphere."
The Independent,"Cozy tavern, indie tunes, eclectic crowd, relaxed atmosphere, drinks-focused."
Bar Moxy,"Trendy, vibrant bar with energetic atmosphere, diverse crowd, and upbeat music."
Yard House,"Lively, upbeat atmosphere; diverse crowd; classic rock music; extensive beer selection."
Elsie Rooftop,Fashionable rooftop lounge for seasonal light bites & craft cocktails in an indoor/outdoor space.
Croton Reservoir Tavern,Popular neighborhood hangout for drinks & American pub food served in a cozy setting.
Gabby O'Haras,"Classic Irish bar offering pints of Guinness, shepherd's pie, bangers & mash & jukebox tunes."
LUMA Hotel Times Square,"Chic, modern atmosphere; relaxed vibe; contemporary tunes; mixed, diverse crowd."
Refinery Rooftop,"Industrial-chic rooftop spot in the Refinery Hotel featuring cocktails, light fare, and dramatic views."
Célon Bar & Lounge,"Chic, modern; lively atmosphere, electro beats, diverse crowd, upscale clientele."
MEXiCUE,"Lively, casual Mexican eatery; upbeat vibes, Latin music, diverse crowd."
AperiBar,"Chic, lively atmosphere with eclectic tunes, drawing diverse patrons."
Stout NYC,"Lively bar, upbeat atmosphere, diverse crowd, rock music vibe."
MASUD AHSUN,"Lively bar, trendy vibe, eclectic music, young professionals, upscale atmosphere."
Pando 39,"Trendy bar, upbeat vibe, electronic beats, diverse crowd, chic ambiance."
Drunk Shakespeare,Quirky theater showcasing classic Shakespearean plays featuring one imbibed cast member.
Bryant Park Grill,American eatery situated on a prime patch of park real estate behind the New York Public Library.
The Bar Downstairs and Kitchen,"Inside the Andaz Hyatt, this upscale brasserie offers farm-to-table American fare & craft cocktails."
Bryant Park Café,"This informal outdoor cafe, open during warm-weather months, serves creative American meals."
Talea Beer Co. Bryant Park,"Lively, modern brewpub with indie tunes, diverse crowd, craft ales."
T-Squared Social,"Chic, vibrant, modern bar with eclectic beats, young professionals, and social buzz."
The Campbell,Classic cocktails & light fare in the ornate Grand Central offices of a 1920's mogul.
Ammos Estiatorio,Greek seafood and a deep wine list headline at this airy spot with sandstone pillars.
Pera Mediterranean Brasserie,"Turkish & Mediterranean fare, including meze & signature lamb dishes, in a stylish, modern setting."
Cipriani Dolci,Upscale scene where an international crowd tucks into Italian food chased with Bellinis.
Uncle Paul's Pizza NY,"Slices, pies & Italian dishes with a gourmet twist are served round-the-clock in a low-key space."
Company,"Cozy ambiance, indie music, craft beers, mixed crowd, lively conversations."
Taste NY Grand Central,"Chic, bustling bar with eclectic music; diverse, professional clientele."
Henri Bar,"Sleek, sophisticated, jazz tunes, upscale crowd, dimly lit."
Bergamo’s,"Chic, lively atmosphere; trendy vibe; eclectic music; diverse, cosmopolitan crowd."
Centurion New York,"Upscale, sophisticated, jazzy tunes, elegant decor, attracts professionals and socialites."
Lea Wine Bar,"Chic lounge done up in red & black with gilt-framed paintings & a menu of tapas, sushi & cocktails."
Bobby Van's 230Park,"Part of a small chain of chophouses serving steak, seafood & other classic fare in a clubby setting."
Aretsky's Patroon,"An upscale American spot with classic decor, including a photo collection, private rooms & roof bar."
Snafu,"Lively atmosphere, modern vibe, diverse crowd, eclectic music, energetic ambiance."
Uncle Charlie’s Piano Lounge,"Gay bar near Grand Central known for its outdoor terrace & separate piano bar, plus weekly events."
Mayhem & Stout,"Cozy, sophisticated atmosphere; jazz vibes; eclectic crowd; craft cocktails and bites."
Vanderbilt Bar & Grill,"Sophisticated, lively vibe, jazz music, diverse crowd, upscale ambiance."
The Wheeltapper Pub,"Lively Irish pub with friendly atmosphere, traditional decor, live folk music."
PARK AVENUE KITCHEN BY DAVID BURKE,"Refined, elegant atmosphere; upscale vibe; sophisticated; jazz music; professionals, foodies."
Foxy John's Bar & Kitchen,"Clubby hangout with new American eats & handcrafted cocktails, plus TVs showing sports."
Blackwells,"Cozy, vibrant atmosphere; eclectic music; diverse crowd; casual, welcoming vibe."
Rosie Dunn's Victorian Pub,"Rosie Dunn's Victorian Pub features cozy, vintage decor, classic rock, diverse patrons."
The Stayton Room,Prohibition-era libations are crafted in a vintage setting to match at this hotel cocktail lounge.
Sofia Wine Bar,"Pizzas, pastas & small plates with dozens of Old & New World wines by the bottle or glass."
Karaoke DUET 48,"A selection of rooms, a huge song list & a full drinks menu adds to the fun at this Karaoke palace."
SipSak,Traditional Turkish plates both small & large are served in a casual bistro setting.
La Cava,"Woody wine bar with Old World & California wines, plus simple eats & an all-you-can-drink brunch."
Ethos,"Trendy NYC bar with electric vibe, eclectic music, and diverse crowd."
Deux Amis,"Parisian-style bistro with outdoor tables dishing up French classics, from coq au vin to couscous."
Jameson's,"Relaxed vibe, rustic decor, live acoustic music, diverse friendly crowd."
Club Usagi,"Trendy, upscale atmosphere; vibrant vibe; electronic music; young professionals."
Nishida Sho-ten,"Japanese noodle soups served in a cozy nook styled like a traditional, old-timey ramen shop."
Château 49,"Cozy French eatery offering brunch staples, escargot, seafood & meat plates, plus a large wine list."
Ophelia Lounge NYC,"Rooftop lounge at the Beekman Tower sporting plush banquettes, cocktails & East River views."
"THE HUNTRESS whiskey, wings n’ other things","Hip gathering spot for burgers, wings & other pub fare with lots of whiskey & proprietary beers."
Vista Sky Lounge,"Welcoming rooftop destination at the Vista LIC Hotel offering city views, a cocktail bar & dining."
Carla,"Cozy eclectic vibe, jazzy tunes, diverse crowd, creative cocktails, artful decor."
DK PubLIC,"Trendy, lively atmosphere, eclectic music, diverse patrons, urban chic decor."
Beija Flor,"Brazilian eatery with an upbeat vibe, frequent live music & happy hour, plus delivery."
"Doha Bar Lounge- Brunch, Nightclub & Restaurant","Casual lounge bar, night club & restaurant offering brunch & dinner menus, plus cocktails."
Cavali New York,"Modern hangout with bohemian interiors, offering drinks & dinner, plus music & dancing on weekends."
Rudar Club,"Cozy, subterranean Balkan bar; vibrant atmosphere, eclectic music, diverse patrons."
Zamora Entertainment Inc,"Lively atmosphere, Latin music, diverse crowd, trendy vibes."
Pa'l Karajo,"Lively, Latin-themed; vibrant crowd; reggaeton beats; young, energetic patrons."
Porchlight,Bar from Danny Meyer offering Southern-inspired cocktails & small bites in a handsome space.
Bar Whimsy,"cozy atmosphere, vintage decor, jazz music, eclectic crowd, chic vibes."
Bar Avant / Après Bar,"Trendy, vibrant atmosphere; eclectic music; diverse, young professional crowd."
Hav & Mar,"Upscale Nordic ambiance, lively vibe, eclectic tunes, diverse professional crowd."
Eagle NYC,"rugged, masculine atmosphere, leather-friendly, rock music, LGBTQ+ crowd."
Gallow Green,"Open year-round, this restaurant with a green-garden vibe serves chic cocktails."
Ovest Pizzoteca,"Naples-style handcrafted pizzas, pasta & panini, served with Italian wines, under the High Line."
Manderley Bar,"Music venue & cocktail bar at the McKittrick Hotel with a jazz theme & low-lit, intimate atmosphere."
Death Ave,"Rustic-chic spot with a comfy rear patio offering Greek-style food, cocktails & house-brewed beers."
Sogno Toscano Cafe´& Wine Bar,"Cozy, Tuscan-themed café; relaxed vibe; jazz music; diverse, friendly crowd."
Music For a While,"Elegant, cozy, classical music bar attracting sophisticated, discerning patrons."
Music For A While,"Retro-inspired, cozy bar; eclectic music, vintage flair, diverse, artistic patrons."
Creature's at Selina Rooftop,"Cool watering hole featuring tapas & cocktails, plus views of the city & Empire State Building."
Kahlo,"Vibrant, artsy atmosphere, Latin beats, trendy crowd, creative cocktails."
Lamborghini Lounge NYC,"Sleek, upscale, energetic; electronic beats; affluent crowd; luxurious ambiance."
Maggie Reilly's,"Relaxed hangout with a wood-paneled bar offering American & Irish pub fare, plus craft beer on tap."
Bluestone Lane Manhattan West Café,"Chic, relaxed café-bar with eclectic music, youthful professionals, casual atmosphere."
Hudson Yards Tavern,"Traditional, down-to-earth pub offering hearty international fare & a take-out option."
Blarney Stone,"Lively Irish pub, relaxed atmosphere, rock music, diverse, friendly crowd."
The Bar at Moynihan,"Chic atmosphere, lively vibe, eclectic music, diverse professionals, sophisticated crowd."
The Irish Exit,"Lively Irish pub, casual vibe, diverse crowd, upbeat music, friendly atmosphere."
Moynihan Food Hall,"Trendy food court, diverse cuisine, lively ambiance, eclectic music, mixed crowd."
AMTRAK Metropolitan Lounge,"upscale, relaxed, diverse, jazz, mature, elegant, exclusive, sophisticated, comfortable."
Blu33 rooftop bar,"Trendy rooftop bar, chic atmosphere, upbeat music, diverse young professionals."
Farley's,"Cozy ambiance, eclectic vibe, indie music, diverse crowd, artisanal cocktails."
MacGuffins Bar,"Cozy, rustic, eclectic vibes; indie tunes; diverse, artsy, welcoming crowd."
Diamante's,"Trendy, vibrant NYC bar with energetic DJs, diverse crowd, and chic atmosphere."
Kabooz's Bar & Grill,"Easygoing stop, located inside Penn Station, serving a large menu of American bar fare."
Jack Doyle's,"This large, elegant Irish bar one block from Penn Station features a big menu of elevated pub grub."
Cafe Nunez,"Latin-American restaurant, lounge & hookah bar popular for its per-pound lunch buffet & DJ nights."
TGI Fridays,"Lively, casual chain bar with classic rock; mixed-age crowd enjoys dining."
John Sullivan's,"Modest hangout offering draft beer, pub food with Irish and American entrees, plus TV sports."
Club Bar & Grill,"Upscale, vibrant ambiance, energetic vibe, diverse music genres, mixed demographic."
The Landing,"Chic, vibrant bar with diverse patrons, playing ambient electronic music."
Aqua Bar,"nautical atmosphere, upbeat vibe, house music, diverse crowd."
VERSA,"Trendy rooftop bar, lively atmosphere, electronic music, chic crowd, midtown Manhattan."
Delta 360 Sky Club,"Upscale, relaxed atmosphere, diverse clientele, soft jazz, panoramic city views."
Juniper Bar,Upscale pub serving modern bar fare in a space with a front bar and back dining area.
