name,website_link,reservation_link
Creature's at Selina Rooftop,https://www.creaturesselinarooftop.com/,http://www.sevenrooms.com/reservations/theroofatselinachelsea
Kahlo,https://www.kahlonyc.com/?utm_source=GBL&utm_medium=GBL&utm_campaign=CustomAudience&utm_term=GBL&utm_content=GBL,https://www.opentable.com/restaurant/profile/1027528?ref=1068
Lamborghini Lounge NYC,https://www.lamborghini.com/en-en/lamborghini-lounge,Not found
Maggie Reilly's,Not found,Not found
Bluestone Lane Manhattan West Café,Not found,https://resy.com/cities/ny/3293?y_source=1_OTkwMjg4NS03MTUtbG9jYXRpb24ucmVzZXJ2YXRpb25fdXJs
Hudson Yards Tavern,http://hudsonyardstavern.nyc/,https://www.hudsonyardstavern.nyc/order
Blarney Stone,,Not found
The Bar at Moynihan,Not found,Not found
The Irish Exit,https://www.irishexit.com/?utm_source=google_business_profile&utm_medium=gbp_view_website&utm_campaign=google_business_profile,https://resy.com/cities/ny/the-irish-exit
Moynihan Food Hall,https://www.moynihanfoodhall.com/,Not found
AMTRAK Metropolitan Lounge,http://amtrak.com/,Not found
Blu33 rooftop bar,http://blu33.com/,Not found
Farley's,Not found,Not found
MacGuffins Bar,Not found,Not found
Diamante's,http://diamantesbar.com/,https://tmt.spotapps.co/reservations?spot_id=184932&source=google&rwg_token=AJKvS9UhCgJrqbB9TgrrmB1Rd7UgXPboYHCG9jeWXELG32Baz5sS9DBSMPBNnH8mHn2viziQTAZmScDx2leazMFAU0LA0J_yiTAH861Br5KZmEDmEzdezhU%3D
Kabooz's Bar & Grill,http://www.kaboozs.com/,Not found
Jack Doyle's,http://www.jackdoylesnyc.com/,https://jackdoylesnyc.com/new-york-herald-square-penn-station-jack-doyles-reservations
Cafe Nunez,https://www.cafenunez.com/,Not found
TGI Fridays,Not found,Not found
John Sullivan's,http://www.johnsullivansnyc.com/,Not found
Club Bar & Grill,http://www.thegarden.com/about/bars-restaurants.html,Not found
The Landing,Not found,https://resy.com/cities/ny/the-landing-at-penn-1?date=2022-02-02&seats=2&y_source=1_MzI0ODA0MDMtNzE1LWxvY2F0aW9uLnJlc2VydmF0aW9uX3VybA%3D%3D
Aqua Bar,Not found,Not found
VERSA,http://versanyc.com/,http://www.versanyc.com/#reservation
Delta 360 Sky Club,Not found,Not found
Juniper Bar,http://www.juniperbarnyc.com/,https://resy.com/cities/ny/juniper-bar-and-grill
bagels,Not found,Not found
Rowland's Bar & Grill,https://www.patinagroup.com/rowlands?utm_source=google&utm_medium=Yext,https://www.opentable.com/restaurant/profile/192205?ref=1068
Blarney Rock Pub,https://elomaps.me/blarney-rock-pub-660282-web,Not found
Pig n Whistle,Not found,Not found
Féile,https://www.feilenyc.com/,https://www.feilenyc.com/
Wolfgang's Steakhouse - Broadway NYC,http://www.wolfgangssteakhouse.net/,https://www.opentable.com/restaurant/profile/1042963?ref=1068
Bourbon and Branch,https://bourbonandbranchnyc.com/,https://resy.com/cities/ny/bourbon-and-branch
The Celtic Rail NYC,,Not found
Bar rooftop,Not found,Not found
The Liberty NYC,http://www.thelibertynyc.com/,https://www.opentable.com/restaurant/profile/103831?ref=1068
Karaoke Duet 35,http://www.karaokeduet.com/,https://www.karaokeduet.com/reservations
Reichenbach Hall,https://reichenbachhall.com/,https://resy.com/cities/ny/reichenbach-hall
BSTRO 38,https://bstro38.com/,https://www.opentable.com/restaurant/profile/27934?ref=1068
Frankie & Johnnie's Steakhouse,Not found,Not found
Top of the Strand Rooftop Bar,https://www.topofthestrand.com/,https://www.opentable.com/restaurant/profile/1198519?ref=1068
Winnie's Jazz Bar,https://winniesnyc.com/,https://www.sevenrooms.com/reservations/winniesjazzbar/winendine
The Keg Room,http://thekegroom.nyc/,https://www.exploretock.com/thekegroom/?utm_source=search&utm_medium=place-actions&utm_content=reservations&rwg_token=AJKvS9UNUZRCJrZMdpLWPk7Vfd8Rwuy8pKbFAY1T9qt7jEma0W-4a35OOdW-Z3O9qF_g-93AJTyVbfRyco3-ibBjP4irwmNOKQ%3D%3D
The Playwright Irish Pub,https://www.playwrightirishpubnyc.com/,Not found
Blaggards Pub,http://blaggardspub.com/,Not found
Monarch Rooftop,http://www.monarchrooftop.com/,http://www.sevenrooms.com/reservations/monarchrooftop
The Highlander Nyc,Not found,Not found
Red Cafe,Not found,Not found
The Ragtrader & Bo Peep Cocktail and Highball Store,https://www.ragtradernyc.com/,https://resy.com/cities/ny/the-ragtrader?date=2023-08-08&seats=2&y_source=1_MTAwNDExNTY3Ni03MTUtbG9jYXRpb24ucmVzZXJ2YXRpb25fdXJs
Trademark Bar + Kitchen,https://trademarktaste.com/,https://fp.sevenrooms.com/explore/trademark/reservations/create/search?venues=parkavenuetavern%2Crefineryroof%2Cparkerandquinn%2Ctrademark%2Cthewilsonnyc%2Cpenthouseonpark%2Cotooles%2Ctakecare%2Cglassceiling%2Cellugar
TONCHIN NEW YORK,https://tonchinus.com/,https://resy.com/cities/ny/tonchin-new-york
Calle Dao Bryant Park,https://www.calledao.com/location/calle-dao-bryant-park/,https://www.calledao.com/reservations/
Barn Joo 35,https://www.barnjoo.com/,https://www.opentable.com/restaurant/profile/1216453?ref=1068
SkyLawn Bar,https://www.nycskylawn.com/,Not found
Rooftop Cinema Club Midtown,Not found,Not found
Den Social Lounge,https://www.densocial.com/lounge,Not found
Den Social Karaoke,Not found,Not found
The Parlour Room,https://www.parlourroomnyc.com/?y_source=1_MTAwNDExNTY3Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://app.tablz.com/the-parlour-room?y_source=1_MTAwNDExNTY3Ny03MTUtbG9jYXRpb24ucmVzZXJ2YXRpb25fdXJs
Bo Peep Cocktail and Highball Store,Not found,Not found
"AKB, a hotel bar",https://www.akbhotelbar.com/location/new-york?utm_source=google&utm_medium=organic&utm_campaign=business_listing,Not found
Spyglass Rooftop Bar,http://www.spyglassnyc.com/,https://www.spyglassnyc.com/
Class,Not found,Not found
Lot 15,http://lot15.nyc/,Not found
Black Tap Craft Burgers & Beer - 35th St,https://blacktap.com/location/35th/,https://resy.com/cities/ny/black-tap-craft-burgers-and-beer
The Westbury,https://www.thewestburynyc.com/,https://resy.com/cities/ny/the-westbury-pub
The Lookup,https://thelookuprooftop.com/,https://resy.com/cities/ny/the-lookup
Daintree,Not found,https://resy.com/cities/ny/daintree
Isla & Co. - Midtown,https://www.isla-co.com/midtown,https://www.isla-co.com/reservations
The Pleat Bar,Not found,Not found
Bar Harta,Not found,Not found
Harta & Bar Harta,Not found,Not found
Bar Cima,https://www.barcimanyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://www.opentable.com/restaurant/profile/1256218?ref=1068
Sapphire 39,https://www.nysapphire.com/,Not found
Mulligan's Pub,http://www.mulligansnyc.com/,Not found
5th&Mad,http://5thandmad.com/,Not found
Japas NY,http://www.japasny.com/,https://www.japasny.com/book-a-room
The Flatiron Room Murray Hill,https://www.theflatironroom.com/murray-hill-home/,https://www.sevenrooms.com/reservations/theflatironroommurrayhill/goog
O'Casey's,Not found,Not found
Raines Law Room at The William,http://www.raineslawroom.com/,https://resy.com/cities/ny/the-raines-law-room-at-the-william
The Shakespeare,https://theshakespearenyc.com/?utm_source=google,https://resy.com/cities/ny/the-shakespeare
Annie Moore's,https://www.anniemoores.com/,Not found
Mad Dog & Beans Mexican Cantina,Not found,Not found
The Madison Lounge,https://www.themadisonlounge.com/,Not found
MAD Bar and Lounge,https://www.madbar-nyc.com/,Not found
Serafina Italian Restaurant 38th Madison,https://www.serafinarestaurant.com/location/serafina-madison-38th/,https://www.opentable.com/restaurant/profile/1273837?ref=1068
Pershing Square,https://pershingsquare.com/,https://pershingsquare.com/
Park Avenue Tavern,https://parkavenuetavern.com/nyc/,https://parkavenuetavern.com/nyc/
Bookmarks,http://www.bookmarkslounge.com/,https://www.opentable.com/restaurant/profile/1025197?ref=1068
United Restaurant & Tavern,Not found,Not found
La Brochette Steakhouse,http://www.labrochetteny.com/,https://resy.com/cities/ny/la-brochette
Tartinery Café - Bar | Park Ave,http://www.tartinery.com/,Not found
Agency of Record,http://agency-of-record.com/,https://resy.com/cities/ny/agency-of-record
Tartinery Café - Bar | Grand Central,http://www.tartinery.com/,Not found
Soba Totto,http://soba-totto.com/,https://www.opentable.com/restaurant/profile/1321891?ref=1068
Bierhaus NYC,http://bierhausnyc.com/,Not found
New York Central,Not found,Not found
Le Botaniste,Not found,Not found
Malone's Irish Bar & Restaurant,https://malonesnyc.com/,Not found
Albert’s Bar,https://www.albertsbar.com/,https://www.opentable.com/restaurant/profile/1270420?ref=1068
Overlook,Not found,Not found
Spanish Restaurant Tapas - Alcala,https://www.alcalarestaurantnyc.com/,https://www.alcalarestaurantnyc.com/
Keats Bar,https://keatsbar.com/,Not found
Ben & Jack's Steakhouse,http://www.benandjackssteakhouse.com/,http://benandjackssteakhouse.com/#reservations
Kaoru,https://www.kaorunewyork.com/,Not found
Show Palace Gentlemen's Club NYC,http://showpalaceny.com/,Not found
Station Lounge,Not found,Not found
Lost in Paradise Rooftop,https://www.lostinparadiserooftop.com/,https://www.opentable.com/restaurant/profile/1254589?ref=1068
Bar Enzo,,Not found
The Greats of Craft LIC,http://www.greatsofcraft.com/,Not found
Focal Point Beer Co,http://focalpoint.beer/,Not found
First Stop Bar & Grill,http://www.firststopbar.com/,Not found
菠萝爹地的家,Not found,Not found
Finback LIC,http://www.finbackbrewery.com/,Not found
The Mighty Crab (Queens),https://www.mightycrabny.com/,https://www.mightycrabny.com/
Cervecería astoria,Not found,Not found
Bowlero Queens,https://www.bowlero.com/location/bowlero-queens/,Not found
BQE Billiards & Bar,,Not found
Legends Sports Bar,Not found,Not found
Pool Bar,Not found,https://spacebilliard.com/
Wildflower,Not found,https://resy.com/cities/ny/wildflower
BOTTINO | modern italian dining | garden | events,Not found,https://www.bottinonyc.com/page/reservations
Molly Wee,http://themollywee.com/,Not found
American Whiskey - Midtown,https://www.americanwhiskeynyc.com/,https://resy.com/cities/ny/american-whiskey-midtown
The Lost & Found,,Not found
Haymaker Bar and Kitchen,http://www.haymakernyc.com/,https://www.opentable.com/restaurant/profile/256153?ref=1068
OCabanon,http://www.ocabanon.com/,https://resy.com/cities/ny/ocabanon
Walter's Bar,,Not found
Taboo Lounge,,Not found
Drawing Room,Not found,Not found
The Triple Crown Ale House,http://www.triplecrownnyc.com/,Not found
Mustang Harry's,https://www.mustangharrys.com/,https://www.mustangharrys.com/reservations/
Unique Music Gift,Not found,Not found
Pioneers Bar NYC,http://pioneersbar.com/,Not found
Friedman's Herald Square,http://www.friedmansrestaurant.com/,Not found
Pennsylvania 6,Not found,https://resy.com/cities/ny/pennsylvania-6-nyc
Alligator Pear,https://www.alligatorpearnyc.com/,https://www.opentable.com/r/alligator-pear-new-york
Tracks,http://www.tracksbargrill.com/,Not found
Little Dipper,http://www.littledippernyc.com/,https://resy.com/cities/ny/little-dipper
Goldie’s Tavern,http://www.goldiestavern.com/,Not found
La Noxe,https://lanoxenyc.com/,https://resy.com/cities/ny/la_noxe
Jack Demsey's,http://www.jackdemseys.com/,Not found
32 Karaoke,http://www.32karaoke.com/,Not found
The Spot Karaoke & Lounge NYC,http://spotkaraoke.com/,https://www.spotkaraoke.com/reservation/
Space Billiard Pool Hall & Sports Bar | Koreatown NYC,https://spacebilliard.com/,https://spacebilliard.com/
Gagopa Karaoke,http://gagopakaraoke.com/home,Not found
Hoops Cabaret,http://hoopscabaret.com/,Not found
bar/code NYC,https://www.barcodenewyork.com/,Not found
Itaewon Pocha,http://www.itaewongastropub.com/,Not found
Icon Aesthetics,http://iconaesthetics.com/,Not found
5 Bar Karaoke,http://karaokehaus.com/reservations,Not found
Plan B,https://www.planbnyc32.com/,https://client.minitable.net/c_reservation?sid=sa8b1be019e2a6d987a6249edab4d483e
Turntable LP Bar & Karaoke,https://www.turntable32.com/,http://turntable32.com/reservations
Blacktail,Not found,https://resy.com/cities/ny/blacktail-at-back-bar
The Vine,Not found,Not found
Space Karaoke Bar & Lounge | Koreatown NYC,https://spacekaraoke.com/,Not found
Anytime Bar & Billiards,http://anytimebilliardsnyc.com/,Not found
The Maze Eatery & Bar | Best Korean Fusion NYC,https://maze32.com/,Not found
Back Bar,Not found,Not found
Maru Karaoke Lounge,http://www.marukaraokelounge.com/,https://www.marukaraokelounge.com/reservation
Legends,https://www.legends33.com/,Not found
MK Karaoke | Karaoke & Bar NYC,https://mkkaraoke.com/,Not found
Chorus Karaoke,https://www.choruskaraoke.com/,https://www.choruskaraoke.com/reservations/
Radio Star Karaoke,Not found,Not found
Pocha 32,http://www.pocha32.com/,https://resy.com/cities/ny/pocha-32
miss KOREA BBQ,http://www.misskoreabbq.com/,http://www.misskoreabbq.com/best-korean-bbq-restaurant-nyc/reservation
STATE Grill and Bar,https://www.patinagroup.com/state-grill-and-bar,https://www.opentable.com/restaurant/profile/150565?ref=1068
Football Factory at Legends,https://www.legendsffnyc.com/,Not found
Karaoke WOW,http://wownyny.com/,https://www.wownyny.com/reservation
Cloud Social Rooftop Bar,https://www.cloudsocialnyc.com/,Not found
MUI,https://www.nymui.com/,Not found
Karaoke City,Not found,http://www.karaokecitynyc.com/
Royal 35 Steakhouse,http://www.royal35steakhouse.com/,https://www.opentable.com/restaurant/profile/348502?ref=1068
Turntable Chicken Jazz,http://www.turntablenyc.com/,Not found
Osamil,https://www.osamil.com/,https://www.osamil.com/reservation
"Starbucks Reserve Empire State Building Store, Concourse Level - Tasting Room & Experiences",Not found,Not found
The Empire Lounge,Not found,Not found
Starbucks Reserve Empire State Building Store,Not found,Not found
Starbucks Reserve Restaurant & Bar,Not found,Not found
Sir John’s NYC,Not found,Not found
Sir John's Bar and Grill,https://sirjohnsmidtown.com/contact-us/,Not found
Anytime Karaoke,http://www.karaokeanytime.com/,Not found
k-32 Rooftop bar,http://k32nyc.com/,Not found
Anytime Kitchen,https://www.anytimenyc.com/,http://www.anytimenyc.com/visit/
SORIMMARA,http://www.instagram.com/sorimmara_nyc,Not found
Karaoke K,Not found,Not found
Space Ping Pong Sports Bar & Lounge | Koreatown NYC,https://spacepingpong.com/,Not found
Krush,,Not found
Tap Haus 33,http://www.taphaus33.net/,Not found
Soju Haus,http://www.sojuhaus.com/,https://resy.com/cities/ny/soju-haus
"Captain's Cafe Bar and Grill New York, NY",,Not found
Osamil Upstairs,http://www.osamilupstairs.com/,https://www.osamilupstairs.com/reservation
Slattery's Midtown Pub,http://slatterysmidtownpub.com/,Not found
Peter Dillon's 36th,http://peterdillons.com/,Not found
The Ainsworth Midtown,http://www.theainsworth.com/midtown,http://www.theainsworth.com/make-a-reservation
Shawshankd,https://shawshankd.com/,Not found
The Long Hall Pub & Grocery,http://www.thelonghallnyc.com/,http://www.thelonghallnyc.com/#reservations-section
Masala King,http://www.masalakingonline.com/,https://www.reservationgenie.com/820-masala-king-new-york-city/reservations/restaurants/booking_details
The Prince Kitano New York,https://kitano.princehotels.com/,Not found
Winfield Flynn Wines & Spirits,http://www.winfieldflynn.com/,Not found
Rossini's,http://rossinisrestaurant.com/,https://www.opentable.com/restaurant/profile/63403?ref=1068
The Junction,http://www.thejunctionnyc.com/,http://www.thejunctionnyc.com/
Sam's Place,https://samsplacerestaurant.com/,Not found
roof at 66 Park,http://kitano.princehotels.com/,https://resy.com/cities/ny/roof-at-66-park
The Allerton Bar & Rooftop,,https://resy.com/cities/ny/the-allerton
The Black Sheep,http://theblacksheepnyc.com/,Not found
Sachi Asian Bistro,http://sachinyc.com/,https://www.opentable.com/restaurant/profile/1054330?ref=1068
Bravest,http://thebravestnyc.com/,Not found
City Beer,http://www.citybeer.net/,http://www.citybeer.net/contact-us/
Tudor City Steakhouse,http://www.tudorcitysteakhouse.com/,https://www.opentable.com/restaurant/profile/1175887?ref=1068
Blend on the Water,http://www.blendonthewater.com/,https://www.opentable.com/restaurant/profile/116164?ref=1068
Anable Basin Sailing Bar & Grill,https://anablebasin.com/,Not found
The Shannon Pot,,Not found
Il Falco Restaurant,http://ilfalcolic.com/,http://ilfalcolic.com/
The Local Bar & Cafe,Not found,Not found
M. Wells,https://www.magasinwells.com/,https://www.magasinwells.com/reserve/
Levante,http://levantelic.com/,https://www.levantelic.com/
Lately Café,Not found,Not found
Tacombi - Long Island City,https://www.tacombi.com/?utm_source=googlebusinessprofile&utm_medium=gbpinfo&utm_campaign=gmbg,https://resy.com/cities/ny/tacombi-lic
Dutch Kills,https://www.dutchkillsbar.com/,Not found
Murray's Cheese Bar,https://www.murrayscheesebar.com/menu-navigation,https://resy.com/cities/ny/murrays-cheese-bar-lic
The Beast Next Door,http://thebeastnextdoor.com/,https://www.opentable.com/restaurant/profile/1168600?ref=1068
Sapps,Not found,Not found
JACX&CO Food Hall,https://jacxandco.com/,Not found
W XYZ Bar - Aloft Long Island City Hotel,https://www.marriott.com/en-us/hotels/ispva-aloft-long-island-city-manhattan-view/overview,Not found
929,https://www.929lic.com/,https://resy.com/cities/ny/929
Side Hustle,https://www.sidehustlepub.com/,https://resy.com/cities/ny/side-hustle-ny
The Bar at JACX&CO,http://jacxandco.com/thebar/,Not found
Alewife Brewing,http://www.alewife.beer/,Not found
QBK Sports,https://www.qbksports.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12708687021758616681,Not found
Jack's Fire Dept.,http://www.jacksfiredepartment.com/,Not found
Bee Cafe,Not found,Not found
Ready Penny Inn,http://ready-penny-inn.poi.place/,Not found
Bartender Jean Abril,Not found,Not found
Espresso 77,http://www.espresso77.com/,Not found
El Abuelo Gozon,http://el-abuelo-gozon.poi.place/,Not found
Friend's Tavern,http://friendstavern.net/,Not found
Viva La Heights Bar,http://www.vivalaheights.com/,Not found
Roosevelt have,Not found,Not found
Riko,Not found,Not found
79 Amigo bar,,Not found
Bowlero Chelsea Piers,https://www.bowlero.com/location/bowlero-chelsea-piers,Not found
Chelsea Piers Golf Club,Not found,Not found
The Water Hazard Bar + Lounge at Chelsea Piers,https://sports.chelseapiers.com/new-york/chelsea/sports/golf/water-hazard?utm_source=google&utm_medium=Listing&utm_campaign=waterhazard,Not found
Alba Accanto,http://www.cucinaalba.com/,Not found
Fairweather,Not found,https://resy.com/cities/ny/fairweather
Pinhook,Not found,Not found
Daisy’s Cocktail Garden,https://thehighlinehotel.com/daisy/,Not found
ZAP Lounge,Not found,Not found
Westside Tavern,https://www.westsidetavern.com/,Not found
Pastai Restaurant,http://www.pastainyc.com/,https://www.pastainyc.com/reservations/
Tequila Chito's Mexican Bar & Grill,,Not found
Qanoon restaurant,https://qanoonnyc.com/,https://qanoonnyc.com/reservations/
The Canuck,Not found,Not found
Milk & Hops,http://milknhops.com/,Not found
Twist Bar,http://www.twistbarnyc.com/,http://www.twistbarnyc.com/
Worthwild,https://www.worthwildnyc.com/,https://resy.com/cities/ny/worthwild
Dallas BBQ Chelsea,https://dallasbbq.com/,Not found
Asuka Sushi,https://www.asukasushiny.com/,https://www.opentable.com/restaurant/profile/78148?ref=1068
Trailer Park Lounge,http://trailerparklounge.com/,Not found
Barracuda Bar,,Not found
Zia Maria Chelsea,https://www.ziamarianyc.com/,https://www.opentable.com/restaurant/profile/347272?ref=1068
The Moore,Not found,Not found
JOY LOVE CLUB,http://www.joyloveclubnyc.com/,https://resy.com/cities/ny/joy-love-club
Shake Rattle & Roll Dueling Pianos,http://www.shakerattlerollpianos.com/,https://bit.ly/SRRshows
Sushi Seki,Not found,Not found
Jake's Saloon,http://www.jakessaloonnyc.com/,Not found
The Chelsea Bell,http://www.thechelseabell.com/,Not found
El Quijote,https://www.elquijotenyc.com/,Not found
Lobby Bar at The Hotel Chelsea,https://hotelchelsea.com/dining-and-bar/lobby-bar,https://resy.com/cities/ny/lobby-bar-hotel-chelsea
Café Chelsea,Not found,Not found
The Hotel Chelsea,https://hotelchelsea.com/dining-and-bar/lobby-bar,https://resy.com/cities/ny/lobby-bar-hotel-chelsea
Sandbar Rooftop,https://sandbarrooftop.com/,Not found
Smithfield Hall NYC,http://www.smithfieldnyc.com/,Not found
Crompton Ale House,http://cromptonalehouse.com/,http://cromptonalehouse.com/
Sid Gold's Request Room,https://sidgolds.com/new-york/,https://www.exploretock.com/sid-golds-request-room-nyc/?utm_source=search&utm_medium=place-actions&utm_content=reservations&rwg_token=AJKvS9VmdtUG2xV3ZM4xPRmeH0Scx3W9oRls8mUDUdqW0LbubnbSAjAZUKQEKxflpHLgObaAnP6wk5iOi8Rl9bYU9ngifky6CVnW6a_50umjk9e3oJMe3CI%3D
The Wilson,https://eatatthewilson.com/nyc/,https://www.sevenrooms.com/reservations/thewilsonnyc/winendine
Gelionbar,Not found,Not found
The Cauldron NYC,http://thecauldron.io/nyc,Not found
Our/New York Bar & Vodka Distillery,https://www.ournewyorkvodka.com/,Not found
The Fleur Room,https://moxychelsea.com/the-fleur-room/,https://www.opentable.com/restaurant/profile/1347265?ref=1068
Club 5W,Not found,Not found
Storehouse,http://www.thestorehousenyc.com/,Not found
"Somewhere Nowhere NYC - Lounge, Nightclub, Rooftop Pool & Event Venue",https://www.somewherenowherenyc.com/,https://www.opentable.com/restaurant/profile/1225756?ref=1068
Lobby Bar,Not found,Not found
Afties,Not found,Not found
Barn Joo Nomad,http://www.barnjoonomad.com/,http://www.barnjoonomad.com/reservations
The Flatiron Room NoMad,http://www.theflatironroom.com/,https://www.sevenrooms.com/reservations/theflatironroomnomad/goog
Grey | Bar and Restaurant,http://greybarnyc.com/,http://www.sevenrooms.com/reservations/greybarandrestaurant
Pergola,Not found,https://www.pergolanewyork.com/
Oscar Wilde,http://oscarwildenyc.com/,https://www.opentable.com/restaurant/profile/989221?ref=1068
Patent Pending,Not found,https://resy.com/cities/ny/patent-pending
Up on 20 Rooftop Lounge,,Not found
NYC Event Party Servers,Not found,Not found
Bazár Tapas Bar and Restaurant,https://www.bazarnomad.com/,https://www.opentable.com/restaurant/profile/984619?ref=1068
230 Fifth Rooftop Bar,http://www.230-fifth.com/,https://www.sevenrooms.com/reservations/fifthrooftop
Paul Bar NYC,,Not found
Lobby Bar at Ritz Carlton,Not found,Not found
Nubeluz,https://www.nubeluzbyjose.com/,https://www.opentable.com/restaurant/profile/1328500?ref=1068
Fndjxxj,Not found,Not found
Lobby Bar at MADE Hotel,http://www.madehotels.com/,Not found
Debajo,https://www.godebajo.com/,https://resy.com/cities/ny/debajo
Good Behavior,https://www.goodbehaviornyc.com/,Not found
The Lobby Bar at Ace Hotel New York,https://acehotel.com/new-york/eat-drink/the-lobby-bar/,Not found
Glass Ceiling Rooftop,https://www.glassceilingrooftop.com/,https://www.sevenrooms.com/reservations/glassceiling
El Lugar Cantina,https://www.ellugarcantina.com/,https://www.sevenrooms.com/reservations/ellugar
Cosmico,https://cosmiconyc.com/,https://www.opentable.com/restaurant/profile/1274959?ref=1068
seeyamañana,Not found,Not found
Little Ned,https://www.thened.com/nomad/restaurants/little-ned,https://www.opentable.com/restaurant/profile/1241953?ref=1068
Hidden gem bar,Not found,Not found
The Portrait Bar,https://theportraitbar.com/,https://resy.com/cities/ny/the-portrait-bar
MS. KIM'S Lounge & Private Karaoke,http://mskims.co/,https://www.exploretock.com/mskims/?utm_source=search&utm_medium=place-actions&utm_content=reservations&rwg_token=AJKvS9UiL6cCffRBNJ1fVz8tYwrJtP8sClo7ErelYEAblyuhKOX8uOF61doUaltKTmCfqjXuYMk_CelVpVk2wsvspMd4diF5aKdmSQiFYjChkl1xFq0cS7s%3D
Mamazul Mexican Grill,https://www.mamazulnyc.com/,https://www.opentable.com/restaurant/profile/1309417?ref=1068
Rooftop Bars NYC,Not found,Not found
Il Fiorista,https://www.ilfioristanyc.com/,https://www.opentable.com/restaurant/profile/1052233?ref=1068
Scarpetta,https://www.scarpettarestaurants.com/location/scarpetta-new-york-city/,https://www.sevenrooms.com/reservations/scarpettanyc/
Dons Bogam,https://www.donsbogam.com/,https://www.donsbogam.com/
Ayza Wine & Chocolate Bar,https://ayzanyc.com/,https://resy.com/cities/ny/ayza-wine-and-chocolate-bar
Mason Jar NYC,http://www.masonjarny.com/,http://www.sevenrooms.com/reservations/masonjarnyc
Wine:30,http://wine30nyc.com/,https://resy.com/cities/ny/wine-30
Wolfe Tone's Pub & Kitchen,https://www.wolfetonespub.com/,Not found
BANGIA,http://www.bangianyc.com/,https://client.minitable.net/c_reservation?sid=sea7ff9ab5aab7d88639352a68b760804
George Bang Bang,http://www.gbbnyc.com/,https://resy.com/cities/ny/george-bang-bang
ART NoMad (Arlo Roof Top),https://arlohotels.com/nomad/eat-and-drink/arlo-roof-top/,Not found
Turntable Chicken Rock,https://turntablechickenrock.com/,https://resy.com/cities/ny/turntable-chicken-and-rock
NOFLEX NYC,https://www.noflex.nyc/,https://www.opentable.com/restaurant/profile/1369702?ref=1068
Pocha 33,Not found,Not found
a.lounge+bar at Hotel AKA NoMad,https://www.stayaka.com/hotel-aka-nomad/wine-bar-lounge,https://www.exploretock.com/aka-nomad/?utm_source=search&utm_medium=place-actions&utm_content=reservations&rwg_token=AJKvS9WgevCiWApuxCkfWyWhRxzjLjTJPSyjnD3FpmBVF3SeqCW1iMhjz-R6lHXx7znQFJG_fQlWjUALbl2LAYDLywnyvRjzVFbCt-k7RCYn5gmPeJIM_zY%3D
The Seville,Not found,https://www.thesevillenyc.com/reservations
John Doe,http://www.johndoenyc.com/,Not found
"noa, a café",http://noaacafe.com/,Not found
HGU Rooftop,Not found,Not found
The Cutting Room,http://thecuttingroomnyc.com/,Not found
Vezzo NYC Thin Crust Pizza,https://www.nycthincrust.com/location/vezzo-thin-crust/,https://www.nycthincrust.com/Prix_Fixe_Packages/
OneOneFour,,Not found
Balcon Rooftop Bar,https://park.marmaranyc.com/balcon-rooftop-bar-nyc?utm_source=google&utm_medium=Local-Balcon&utm_campaign=Google+My+Business,https://www.opentable.com/restaurant/profile/1374385?ref=1068
Pando Park,https://www.pandopubs.com/,https://www.pandopubs.com/
Cappuccino Gino,,Not found
Jackson Hole Burgers,Not found,https://jacksonholeburgers.com/35th/#reservations
Cask Bar & Kitchen,http://casknyc.com/,https://resy.com/cities/ny/cask-bar-and-kitchen
Babylon Hookah Lounge,,Not found
LB33,Not found,Not found
The Flying Cock,http://www.theflyingcocknyc.com/,https://www.theflyingcocknyc.com/reservations/
Ted's Corner Tavern,http://www.tedscornertavern.com/,Not found
Aunt Bernie's Bar and Jardin,https://www.auntbernies.com/,Not found
Blue Haven East,http://www.bluehaveneast.com/,https://tmt.spotapps.co/reservations?spot_id=55425&source=google&rwg_token=AJKvS9XxA8MZzW2gUlUQ6V--gKkywW4gSVXPk-E40jcx4zgu9SJF4OMorrQVtuO5dmaCo3X-BDJD2vIkASe86KlPGg69iFhd_7Q3WcrcivLp69cJTYmF-pU%3D
Bubo,Not found,Not found
Lucky Lyndon,,Not found
El Parador Cafe,https://www.elparadorcafe.com/?utm_source=google&utm_medium=gmb&utm_campaign=elparadorcafe,https://resy.com/cities/ny/el-parador-cafe
Gemini,Not found,Not found
Esan,Not found,Not found
Estonian House,http://www.estonianhousenewyork.com/,Not found
InviteMe NYC,https://www.invitemenyc.com/,Not found
Resolution 39 Saloon & Restaurant,Not found,Not found
Hole In The Wall,Not found,Not found
Skinny's Cantina,Not found,Not found
Sweetleaf Coffee & Cocktail Bar,http://www.sweetleafcoffee.com/,Not found
The Waterfront Club,https://www.thewaterfrontclub.com/,https://www.opentable.com/restaurant/profile/1332472?ref=1068
Record Room,https://www.recordroomlic.com/,https://resy.com/cities/ny/record-room
LIC Bar,http://www.licbar.com/,Not found
Madera,Not found,https://www.opentable.com/restaurant/profile/90340?ref=1068
